"file","speaker","io_unit","start_time","end_time","pause_duration","io_duration","genre","glottocode","speaker_age","speaker_sex","synthesis","tone","element","sprach_dauer","part"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",1,8.44,10.42,1.13,1.98,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.85,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",2,10.42,13.793,1.895,3.373,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.478,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",3,13.793,14.18,0.08,0.387,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.307,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",4,14.18,20.15,4.34,5.97,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.63,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",5,20.15,22.18,0.753,2.03,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.277,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",6,22.18,25.404,1.93,3.224,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.294,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",7,25.404,27.459,1.589,2.055,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.466,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",8,27.459,28.476,0.155,1.017,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.862,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",9,28.476,29.21,0.169,0.734,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.565,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",10,29.21,30.476,0.906,1.266,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.36,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",11,30.476,31.31,0.191,0.834,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.643,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",12,31.31,32.288,0.309,0.978,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.669,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",13,32.288,35.74,1.572,3.452,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.88,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",14,35.74,36.831,0.176,1.091,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.915,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",15,36.831,38.92,0.743,2.089,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.346,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",16,38.92,39.595,0.167,0.675,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.508,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",17,39.595,40.242,0.24,0.647,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.407,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",18,40.242,41.102,0.617,0.86,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.243,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",19,41.102,41.606,0.211,0.504,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.293,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",20,41.606,42.134,0.122,0.528,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.406,"part1"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",21,42.134,43.604,0.344,1.47,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.126,"part1"
